Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
3.7,-3.5,43.5,25.67,6,0,0,0,0,0.26,14.5,6,0,0
0.8,2,45,52,6.67,0,0,0,0,0.32,14.7,14,0,0
2,-5.5,41,41.67,6.33,0,0,0,0,0.36,16.6,15.1,0,0
1.5,6.5,46.5,37.67,7,0,0,0,0,0.37,18.4,13.1,0,0
1,3,44,26.33,4,0,0,0,0,0.2,9.5,8.4,0,0
0.8,-1,46,28,2.33,0,0,0,0,0.16,6.3,9.9,0,0
2.3,-6,49.5,99,5,0,0,0,0,0.39,13.5,27.1,0,5.55
6.7,-3.5,56,99.67,8.67,0.67,0,0,0,0.5,20.7,26.9,4.2,21.42
6.2,7,52.5,71.33,8,0.67,0,0,0,0.41,18.7,19,4.2,2.38
0.3,4.5,42.5,91,6.67,0,0,0,0,0.51,19.7,31.1,0,0
4.1,-3,44,77.33,6.67,0,0,0,0,0.46,18.6,26.4,0,2.22
4.1,13.5,49.5,61,7.67,0,0,0,0,0.47,21.6,21.1,0,2.22
9.4,7.5,52,32.67,6,0,0,0,0,0.36,17.7,13.1,0,22.21
1.9,2,42.5,32.33,6,0,0,0,0,0.38,18.6,14.6,0,0
0.1,-4.5,45,21.33,2,0,-1.67,0.33,40,0.17,6.6,10.7,0,0
1.2,-6.5,45,37.33,3.33,0,-1.67,0.33,40,0.27,10.7,16.1,0,0
0.9,11,48.5,52.33,5.67,0,-3,0.67,20,0.38,16.5,18.6,0,0
1.2,-3,47,51.33,6,0,-1.33,0.33,0,0.44,20.1,19.9,0,0
5.8,7.5,41.5,0,0,3,238,40,-2,0,0,0,13,15.55
5.7,7,43.5,0,0,9,230,35.33,1.33,0,0,0,29.6,2.56
2.6,3,44,1.33,0.33,11,200.33,31.67,2,0.07,3.7,2.7,37.8,0
1.9,4,41,1.33,0.33,8,223,30,0.33,0.07,3.7,2.7,34,0
5.7,-2.5,49.5,0,0,9,171,27,8,0,0,0,24.4,2.22
4.1,-1,51,0,0,6.67,198.67,31.33,9.67,0,0,0,18.5,0
3.7,2.5,47,0,0,6.67,142,26.67,-0.67,0,0,0,21,2.22
12,1,49.5,176.67,14.33,0,0,0,0,0.96,37.3,56.8,0,15.55
18.6,3,53,201.67,15.67,0,0,0,0,0.98,36.4,61.4,0,35.53
6.8,3.5,53,91.67,6.67,0,0,0,0,0.4,14.8,24.8,0,15.38
12.9,1,54,55.33,6,0,0,0,0,0.37,16.1,18.3,0,8.88
22.2,4.5,50,84,9.67,0,0,0,0,0.66,27.6,34.7,0,44.44
10.5,3.5,49.5,77.33,9,0,0,0,0,0.6,26,29.9,0,6.66
3.2,-2.5,46,80.67,6.67,0,0,0,0,0.51,20.5,29.1,0,8.89
7.2,7,47,-0.33,2.33,14.33,0,0,0,0.15,10.3,-0.7,42.4,0
1.8,-7.5,49.5,-1.33,1.67,12.67,0,0,0,0.15,11.1,-1.9,40.8,0
1,-14.5,45,3.67,1.33,8.67,0,0,0,0.15,8.4,3.9,32,0
2,12.5,49,4.67,1.67,8,0,0,0,0.13,7,2.9,29.4,0
2.6,7,50,0,0,1,324.33,42.67,1.67,0,0,0,5.4,4.44
1.6,-3,44,-2.33,0.33,1.33,317.67,46.33,1,0.02,3.2,-3.6,4.8,2.38
1,1,45,11.67,2.33,0,0,0,0,0.17,8.7,5.7,0,0
0.4,3.5,49,17.67,2.33,0,0,0,0,0.19,9.1,7.9,0,0
0.3,-3,49.5,17.33,1.67,0,0,0,0,0.14,6.3,6.5,0,0
0.7,3.5,52.5,17.67,2,0,0,0,0,0.17,8.1,6.7,0,0
1.8,3.5,53,13.33,2.33,0,0,0,0,0.17,8.8,5.1,0,0
0.6,5.5,47,21.33,2.67,0,0,0,0,0.18,8.6,7.2,0,0
0.4,3,51.5,15.67,2.33,0,0,0,0,0.16,7.9,6.4,0,0
0.8,7,50,18.67,3.33,0,0,0,0,0.28,14.3,9.4,0,0
13.3,3,50,20,4,0,0,0,0,0.29,15.4,8.7,0,9.52
7.8,10.5,51,30.67,5.33,0,0,0,0,0.3,15,10.2,0,6.66
0.6,-7.5,49.5,30.67,4,0,0,0,0,0.22,11.6,6.9,0,0
0.3,4,46.5,43.33,5.33,0,0,0,0,0.3,14.4,11.8,0,0
2.2,3.5,52.5,39.33,4.33,0,0,0,0,0.31,14,14,0,0
2,6.5,55,43.67,5,0,0,0,0,0.35,16.2,15.4,0,0
3.3,4,52,43,5,0,0,0,0,0.34,16,14.4,0,2.56
3.3,-2.5,55.5,24.67,5,0,2.33,0.33,-37,0.28,14.7,7.8,0,2.22
3.4,-7,49,43,6.67,0,2.33,0.33,-37,0.38,17.9,15.5,0,6.67
3.7,4.5,46,36,5.67,0,2.33,0.33,-37,0.33,15.5,13.9,0,0
0.6,-3,44,2.33,2.67,8.67,0,0,0,0.13,8.2,0.9,39.5,0
0.6,13.5,49.5,5,3,4,0,0,0,0.14,8.7,1.9,22.5,0
0.4,3,43,0.67,1.33,1,0,0,0,0.1,6.4,-0.2,14.3,0
0.1,4.5,51,5.33,1,0,0,0,0,0.08,3.6,3.2,0,0
1.6,6.5,39.5,28.67,2.67,0,0,0,0,0.19,7.6,11.1,0,0
1.3,-7,41.5,36.33,3.33,0,0,0,0,0.23,9,13.2,0,0
2.3,12.5,44,43.67,5,0,0,0,0,0.37,14.8,21.6,0,0
1.2,-5.5,41.5,46.67,2.67,0,0,0,0,0.2,8,12.2,0,0
0.6,7.5,46.5,40.33,3.33,0,0,0,0,0.28,11.4,15.3,0,0
0.2,7.5,45,42.33,4,0,0,0,0,0.31,13.2,16.6,0,0
0.5,-14.5,45,55.67,5.33,0,0,0,0,0.39,16,22,0,0
0.8,-7,45,40.67,5.33,0,0,0,0,0.33,14.2,16.8,0,0
0.4,2,42.5,26.67,4,0,0,0,0,0.24,10.5,11.1,0,0
0.7,6.5,39.5,53,6.67,0,0,0,0,0.5,24,20.5,0,0
0.3,-5.5,42.5,47.33,6.67,0,0,0,0,0.41,19.8,16.7,0,0
1.6,1.5,46.5,51,6.33,0,0,0,0,0.41,19.1,17.7,0,0
4.2,-3,53,57,6.67,0,0,0,0,0.4,18,18,0,0
2.1,-9.5,47,42,5.67,0,0,0,0,0.39,17.9,17.8,0,2.22
3,4,41,57.33,8.33,0,0,0,0,0.5,23.5,20.7,0,0
6.3,-3,55,48,7,0,0,0,0,0.47,22.8,19,0,2.22
4.8,3,55.5,37.67,5.67,0,0,0,0,0.34,16.1,13.8,0,4.44
11.4,4.5,51,44.67,6,0,0,0,0,0.33,15.4,14.7,0,9.52
0.8,-4.5,45,142.67,9,0,0,0,0,0.75,26.9,49.1,0,0
0.1,2.5,45.5,118.67,7.67,0,0,0,0,0.6,21.1,40.9,0,0
0.4,8,50,21,2,0,0,0,0,0.12,5.1,6.3,0,0
0.4,-3,47,0.33,0.33,6.67,0,0,0,0.07,4.5,0.5,20.1,0
7.9,1,49.5,0,0,3,305.67,34,8,0,0,0,11.4,8.88
15,5.5,58,0,0,2.67,251,32,17.33,0,0,0,10.1,11.1
9.9,-4.5,55,0,0,4,289,37.33,12.33,0,0,0,15.7,0
8.1,-3.5,55.5,0,0,3.67,363.33,38.67,7.67,0,0,0,18.5,11.1
11.4,1,54.5,0,0,4,382.33,41.33,7.33,0,0,0,18.5,8.88
12.9,-3,55,0,0,4.67,367.33,42.33,6.33,0,0,0,21.1,11.1
6.2,3,55,0,0,3.67,363.67,45.67,5.67,0,0,0,14.6,6.66
6.9,11,48.5,0,0,7,269,35.67,7,0,0,0,26.9,13.33
7.4,16.5,49.5,0,0,6.67,273.33,37.33,6.67,0,0,0,25.4,21.42
15.6,2.5,42.5,94.67,7.33,0.33,0,0,0,0.61,24.7,33.7,3.7,39.99
6,7,51,100.33,8.33,0,0,0,0,0.59,24.3,32.4,0,13.33
4.5,4.5,55.5,49.67,6.67,0,0,0,0,0.38,18.7,14.7,0,4.44
6,-3,51.5,38.33,5.67,0,0,0,0,0.34,16.4,13.1,0,4.44
9.2,-3,52.5,29,3.67,0,0,0,0,0.26,12.1,11.1,0,7.68
4.2,1,54,38.67,3.33,0,0,0,0,0.26,10.8,14.4,0,2.22
2.7,-3.5,49,51,4.33,0,0,0,0,0.32,13.8,16.1,0,8.88
7.4,3,51.5,65,6,0,0,0,0,0.4,17.5,19.4,0,11.1
2.2,2.5,46,62.33,5.67,0,0,0,0,0.36,15.1,18.4,0,4.45
9.9,-3,47,75,7,0,0,0,0,0.49,19.3,28.5,0,2.22
2.9,3,44,114.67,9.33,0,0,0,0,0.71,26.2,45.4,0,0
6.7,-9.5,55.5,156,10,0,0,0,0,0.69,25.5,43.7,0,19.04
0.8,-3.5,43.5,0,0,1,356.33,43,2,0,0,0,11.1,0
1.1,2,45,0,0,0.33,310.33,39,-0.67,0,0,0,6.7,2.56
1.1,-5.5,41,0,0,0.67,327,42.33,2,0,0,0,9.1,0
1.1,6.5,46.5,0,0,0.67,338.33,42.67,1,0,0,0,9.1,0
3,1,45,0,0,1,223.67,31.33,6,0,0,0,8.8,4.44
2.1,3.5,49,0,0,2.33,224,27.67,10.33,0,0,0,13.5,0
1.5,-3,49.5,0,0,2.33,260.33,27,2.33,0,0,0,13.5,2.22
1.5,3.5,52.5,0,0,2,274.33,28.33,-2,0,0,0,12.1,4.44
7.6,3.5,53,0,0,1.67,261.33,32,5.67,0,0,0,4.6,23.05
2,5.5,47,0,0,1,291,34.67,7,0,0,0,3.9,0
2.5,3,51.5,0,0,0.33,207.33,31.33,2.67,0,0,0,2.4,6.67
2.9,7,50,0,0,0,177.67,24.33,2.33,0,0,0,0,6.67
2.7,3,50,0,0,0.33,256.67,30,6.33,0,0,0,3.4,0
8.5,10.5,51,0,0,1.33,308,38.33,10.67,0,0,0,8,13.33
3.4,7,52.5,0,0,2.33,318.67,41.67,7.67,0,0,0,7.9,0
0.1,-3,44,44,4.67,0,0,0,0,0.42,15.7,26.4,0,0
0.2,3,44,23.33,3.33,0,0,0,0,0.21,9.3,10.4,0,0
0.7,-9.5,55.5,20.33,2.33,0,0,0,0,0.12,5.8,5.4,0,2.38
4.3,7,44.5,0,0,2,286,38,2.67,0,0,0,6.7,4.44
4.8,-3,49.5,0,0,2,232,34,5.33,0,0,0,6.3,2.22
11.1,4,52,0,0.33,2.67,245,30.33,6.33,0.05,3,0,8,12.82
2.6,1,51,0,0.33,2,283.67,36.33,5.33,0.05,3,0,8.9,0
8,-7.5,49.5,0,0,2,245,34.33,3,0,0,0,10.2,4.44
1.8,6.5,46.5,0,0,1.33,271,35.33,0.33,0,0,0,7.8,0
1.3,6,50.5,0,0,1.67,219,27.67,-8.67,0,0,0,5.5,0
2.4,3,51.5,0,0,2,197,28.33,-6.33,0,0,0,6.3,2.38
10,4,54,0,0,2.33,176.33,28,-3.67,0,0,0,6.7,6.66
7.7,-7.5,53,0,0,1.67,273.33,34.67,2,0,0,0,6.9,7.14
